creator_id,nickname,creator_type,persona_tags,pgy_url,profile_url,followers_count,liked_collected_count,quote_price,video_quote_price,budget_status,daily_read_median,daily_interaction_median,natural_cpe,image_cpm,video_cpm,status,topic_point
pgy-ref:662169d800000000030318b1,鸠占鹊巢咖啡,海外留学生,海外留学生、听课宝参考优质达人、留学/海外身份,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/662169d800000000030318b1?track_id=kolSimilar_c603830ff28a483096a78bf43a3256bc&source=Advertiser_Kol,https://www.xiaohongshu.com/user/profile/662169d800000000030318b1,1900.0,21000.0,650.0,650.0,通过,3582.0,122.0,2.21,,32.2,待补数据,海外留学生；参考合作形式：视频；阅读中位数 3582.0；互动中位数 122.0
pgy-ref:66f760ae000000001d031096,蝴蝶西,海外留学生,海外留学生、听课宝参考优质达人、留学/海外身份,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/66f760ae000000001d031096?track_id=kolSearch_8e4496a0594048f59da15b39754196a0&fromRoute=Advertiser_Kol&source=Advertiser_Kol,https://www.xiaohongshu.com/user/profile/66f760ae000000001d031096,4400.0,123000.0,900.0,,通过,3699.0,552.0,4.52,108.23,,待补数据,海外留学生；参考合作形式：图文；阅读中位数 3699.0；互动中位数 552.0
pgy-ref:5dbe843a0000000001006b32,养一只秋秋.,海外留学生,海外留学生、听课宝参考优质达人、留学/海外身份,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/5dbe843a0000000001006b32?track_id=kolSearch_3711f5126ebe4ad99215e2db5e5fc84f&fromRoute=Advertiser_Kol&source=Advertiser_Kol,https://www.xiaohongshu.com/user/profile/5dbe843a0000000001006b32,4700.0,51000.0,700.0,700.0,通过,1370.0,132.0,3.58,,65.85,待补数据,海外留学生；参考合作形式：视频；阅读中位数 1370.0；互动中位数 132.0
pgy-ref:5488004db4c4d66cc3eb0f4b,大jio,留学背景,留学背景、听课宝参考优质达人、留学/海外身份,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/5488004db4c4d66cc3eb0f4b?track_id=kolSimilar_564be2cf54314ab6b0349a3ef71c8573&fromRoute=Advertiser_Kol&source=Advertiser_Kol,https://www.xiaohongshu.com/user/profile/5488004db4c4d66cc3eb0f4b,4100.0,36000.0,700.0,700.0,通过,3502.0,116.0,2.59,,13.51,待补数据,留学背景；参考合作形式：视频；阅读中位数 3502.0；互动中位数 116.0
pgy-ref:606500ca0000000001001d6a,雨雨木木喵,海外留学生,海外留学生、听课宝参考优质达人、留学/海外身份,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/606500ca0000000001001d6a?track_id=kolSimilar_50f67bcdeb1349199be82029e95d0caf&fromRoute=Advertiser_Kol&source=Advertiser_Kol,https://www.xiaohongshu.com/user/profile/606500ca0000000001001d6a,4700.0,337000.0,751.0,751.0,通过,3474.0,426.0,0.99,,29.04,待补数据,海外留学生；参考合作形式：视频；阅读中位数 3474.0；互动中位数 426.0
pgy-ref:5f82aa07000000000101e3ae,机智馍馍儿,海外留学生,海外留学生、听课宝参考优质达人、留学/海外身份,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/5f82aa07000000000101e3ae?track_id=kolMatch_1037a1cdac064374b6029805529030e5&fromRoute=Advertiser_Kol&source=Advertiser_Kol,https://www.xiaohongshu.com/user/profile/5f82aa07000000000101e3ae,3500.0,128000.0,866.0,866.0,通过,1177.0,115.0,3.01,,41.25,待补数据,海外留学生；参考合作形式：视频；阅读中位数 1177.0；互动中位数 115.0
pgy-ref:5a8ffea1e8ac2b1faa7a60ec,Lisenn,海外留学生,海外留学生、听课宝参考优质达人、留学/海外身份,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/5a8ffea1e8ac2b1faa7a60ec?track_id=kolSimilar_2a4f51a158f649069df62eac7f56d9fb&fromRoute=Advertiser_Kol&source=Advertiser_Kol,https://www.xiaohongshu.com/user/profile/5a8ffea1e8ac2b1faa7a60ec,1800.0,15000.0,712.0,712.0,通过,412.0,54.0,1.24,,52.66,待补数据,海外留学生；参考合作形式：视频；阅读中位数 412.0；互动中位数 54.0
pgy-ref:60b46fde0000000001008091,c.a_r0line,海外留学生,海外留学生、听课宝参考优质达人、留学/海外身份,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/60b46fde0000000001008091?track_id=kolGeneralSearch_abe92fb9550b4f6eb3291ed96e88f046&fromRoute=Advertiser_Kol&source=Advertiser_Kol,https://www.xiaohongshu.com/user/profile/60b46fde0000000001008091,2800.0000000000005,24000.0,882.0,882.0,通过,2041.0,374.0,1.26,,44.86,待补数据,海外留学生；参考合作形式：视频；阅读中位数 2041.0；互动中位数 374.0
pgy-ref:5a8b8ca14eacab4028be1fc7,Winterr:),海外留学生,海外留学生、听课宝参考优质达人、留学/海外身份,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/5a8b8ca14eacab4028be1fc7,https://www.xiaohongshu.com/user/profile/5a8b8ca14eacab4028be1fc7,8000.0,68000.0,950.0,950.0,通过,3491.0,374.0,3.77,,57.43,待补数据,海外留学生；参考合作形式：视频；阅读中位数 3491.0；互动中位数 374.0
pgy-ref:65b90809000000000e0271a8,小李_,海外留学生,海外留学生、听课宝参考优质达人、留学/海外身份,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/65b90809000000000e0271a8?track_id=kolSimilar_515fffbb79bf47c2ab54e4e99109704f&source=Advertiser_Similar_Kol,https://www.xiaohongshu.com/user/profile/65b90809000000000e0271a8,6200.0,42000.0,1100.0,1100.0,超预算,2405.0,224.0,2.52,,76.27,待补数据,海外留学生；参考合作形式：视频；阅读中位数 2405.0；互动中位数 224.0
